Plant code,Region,Spend Category,Combined risk category,High risk site,Audit Status,Audit Request,Hypercare Level
XXX1016911,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1016912,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1016934,MEU,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1016954,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1016975,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1016980,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1017033,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017044,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1017050,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017057,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1017105,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1017119,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017120,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1017138,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017152,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1017173,No region classified,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1017181,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017185,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017197,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017203,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1017204,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1017293,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1017302,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017318,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017336,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1017339,MEU,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017347,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1017382,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017412,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1017419,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017652,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1017656,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1017704,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017706,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1017715,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1017732,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017752,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017758,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017838,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1017851,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017857,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017865,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1017996,AMEA,Raw materials,,Not applicable,Not applicable,Not applicable,Level 2
XXX1018050,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1018078,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1018080,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1018341,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1018453,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1018483,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1018521,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1018531,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1018574,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1018903,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1018911,AMEA,EM,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1019009,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1019023,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019043,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1019141,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019179,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1019212,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019229,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019239,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019256,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019304,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019317,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1019330,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1019387,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1019434,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1019447,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019492,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1019523,MEU,Licensee,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1019547,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1019556,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 3
XXX1019562,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1019569,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1019606,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1019642,AMEA,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1019692,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019720,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1019742,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019787,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019817,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019836,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1019854,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1019857,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1019865,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1019867,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019870,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1019873,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1019904,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1019919,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1019927,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1019935,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1019944,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1019951,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1020033,Not in Supplier DB,Not in Supplier DB,,Not applicable,Not applicable,Not applicable,No audit information
XXX1020052,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1020100,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020111,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1020138,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020139,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020162,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020169,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020178,AMEA,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1020203,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020215,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1020216,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1020234,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1020343,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1020352,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1020436,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1020437,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1020442,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020455,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1020478,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1020504,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020509,MEU,Licensee,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1020511,MEU,Raw materials,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1020525,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1020623,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1020747,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1020823,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1020833,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020872,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1020960,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1021010,AMEA,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1021069,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1021224,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Hypercare
XXX1021301,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1021375,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1021710,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1021716,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1021740,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1021749,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1021755,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1021795,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1021806,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1021828,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1021860,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1021869,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1021881,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1021886,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1021944,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022002,MEU,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1022027,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1022041,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1022176,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1022194,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022212,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022263,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1022324,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1022336,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1022338,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022414,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1022420,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1022431,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022467,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1022470,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1022474,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1022493,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022499,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1022508,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1022509,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022523,AMEA,Packaging materials,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1022526,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1022533,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022534,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1022537,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1022540,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1022554,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022555,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1022582,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022589,MEU,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1022591,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022603,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022626,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022628,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1022638,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022653,LA,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1022685,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1022701,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022731,No region classified,Packaging materials,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1022740,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1022834,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1022849,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1022867,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1022877,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1022879,Not in Supplier DB,Not in Supplier DB,,Not applicable,Not applicable,Not applicable,No audit information
XXX1022946,MEU,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1022967,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022979,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1022989,LA,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1023016,LA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1023031,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1023045,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1023049,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1023062,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1023070,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1023078,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1023104,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1023114,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1023116,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1023127,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1023141,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1023148,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1023160,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1023161,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1023165,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1023204,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1023209,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1023227,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1023232,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1023278,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1023426,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1023607,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1023613,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1023811,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1023833,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1023847,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1024008,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1024009,No region classified,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1024208,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1024263,No region classified,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1024415,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1024538,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1024625,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1024639,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1024685,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1024690,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1024749,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1024794,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1024964,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1024976,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025005,MEU,Licensee,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1025075,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1025084,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1025096,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025127,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025143,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025179,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1025207,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1025226,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1025230,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025232,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025242,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025243,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025246,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1025257,LA,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1025260,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1025278,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1025282,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1025288,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025301,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025305,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1025352,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025360,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025415,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025446,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1025467,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1025478,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025491,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1025499,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1025501,AMEA,Packaging materials,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1025587,MEU,EM,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025592,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1025682,Not in Supplier DB,Not in Supplier DB,,Not applicable,Not applicable,Not applicable,No audit information
XXX1025690,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1025734,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1025766,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025817,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1025930,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1025937,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025950,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1025966,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025985,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1025991,MEU,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1026003,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1026082,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1026112,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1026157,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1026380,MEU,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1026387,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1026456,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1026691,AMEA,Packaging materials,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1026767,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1026786,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1026819,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1026992,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1027191,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1027237,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1027250,AMEA,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1027254,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1027298,MEU,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1027346,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1027386,AMEA,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 0
